"","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","percent_of_income","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","phone","default"
"368","< 0 DM",18,"good","furniture/appliances",3650,"< 100 DM","< 1 year",1,4,22,"none","rent",1,"skilled",1,"no","no"
"424","unknown",21,"poor","furniture/appliances",1591,"100 - 500 DM","4 - 7 years",4,3,34,"none","own",2,"management",1,"no","no"
"70","unknown",36,"good","furniture/appliances",2394,"unknown","1 - 4 years",4,4,25,"none","own",1,"skilled",1,"no","no"
"126","< 0 DM",12,"critical","car",2121,"< 100 DM","1 - 4 years",4,2,30,"none","own",2,"skilled",1,"no","no"
"850","< 0 DM",12,"good","furniture/appliances",709,"< 100 DM","> 7 years",4,4,57,"store","own",1,"unskilled",1,"no","yes"
"315","> 200 DM",4,"good","car",1494,"unknown","< 1 year",1,2,29,"none","own",1,"unskilled",2,"no","no"
"743","unknown",21,"good","furniture/appliances",3160,"unknown","> 7 years",4,3,41,"none","own",1,"skilled",1,"yes","no"
"1000","1 - 200 DM",45,"critical","car",4576,"100 - 500 DM","unemployed",3,4,27,"none","own",1,"skilled",1,"no","no"
"150","unknown",18,"critical","furniture/appliances",1582,"> 1000 DM","> 7 years",4,4,46,"none","own",2,"skilled",1,"no","no"
"670","> 200 DM",30,"critical","furniture/appliances",3017,"< 100 DM","> 7 years",4,4,47,"none","own",1,"skilled",1,"no","no"
"746","< 0 DM",13,"critical","business",1797,"< 100 DM","< 1 year",3,1,28,"bank","own",2,"unskilled",1,"no","no"
"513","> 200 DM",15,"good","business",2687,"< 100 DM","4 - 7 years",2,4,26,"none","rent",1,"skilled",1,"yes","no"
"515","unknown",24,"good","car",2255,"unknown","< 1 year",4,1,54,"none","own",1,"skilled",1,"no","no"
"851","< 0 DM",20,"critical","car",2235,"< 100 DM","1 - 4 years",4,2,33,"bank","rent",2,"skilled",1,"no","yes"
"403","unknown",24,"poor","business",8648,"< 100 DM","< 1 year",2,2,27,"bank","own",2,"skilled",1,"yes","yes"
"189","< 0 DM",12,"good","furniture/appliances",674,"100 - 500 DM","4 - 7 years",4,1,20,"none","own",1,"skilled",1,"no","yes"
"744","< 0 DM",24,"very good","furniture/appliances",2483,"500 - 1000 DM","1 - 4 years",4,4,22,"store","own",1,"skilled",1,"yes","no"
"953","1 - 200 DM",24,"good","car",4113,"500 - 1000 DM","< 1 year",3,4,28,"none","rent",1,"skilled",1,"no","yes"
"584","1 - 200 DM",36,"good","renovations",2384,"< 100 DM","< 1 year",4,1,33,"none","rent",1,"unskilled",1,"no","yes"
"486","1 - 200 DM",6,"poor","car",1209,"< 100 DM","unemployed",4,4,47,"none","own",1,"management",1,"yes","yes"
"613","< 0 DM",21,"good","furniture/appliances",3357,"> 1000 DM","< 1 year",4,2,29,"bank","own",1,"skilled",1,"no","no"
"936","1 - 200 DM",30,"poor","furniture/appliances",1919,"100 - 500 DM","< 1 year",4,3,30,"store","own",2,"management",1,"no","yes"
"252","> 200 DM",12,"good","furniture/appliances",2251,"< 100 DM","1 - 4 years",1,2,46,"none","own",1,"unskilled",1,"no","no"
"65","unknown",24,"good","furniture/appliances",3181,"< 100 DM","< 1 year",4,4,26,"none","own",1,"skilled",1,"yes","no"
"949","unknown",18,"good","furniture/appliances",1533,"< 100 DM","< 1 year",4,1,43,"none","own",1,"unskilled",2,"no","yes"
"975","unknown",30,"critical","furniture/appliances",2831,"< 100 DM","1 - 4 years",4,2,33,"none","own",1,"skilled",1,"yes","no"
"627","> 200 DM",6,"good","furniture/appliances",2116,"< 100 DM","1 - 4 years",2,2,41,"none","own",1,"skilled",1,"yes","no"
"760","< 0 DM",12,"critical","car",691,"< 100 DM","> 7 years",4,3,35,"none","own",2,"skilled",1,"no","yes"
"483","< 0 DM",30,"good","furniture/appliances",3622,"> 1000 DM","> 7 years",4,4,57,"none","rent",2,"skilled",1,"yes","no"
"721","> 200 DM",9,"perfect","furniture/appliances",1337,"< 100 DM","< 1 year",4,2,34,"none","own",2,"management",1,"yes","yes"
"531","1 - 200 DM",36,"good","education",2273,"< 100 DM","4 - 7 years",3,1,32,"none","own",2,"skilled",2,"no","no"
"929","unknown",30,"good","furniture/appliances",1867,"unknown","> 7 years",4,4,58,"none","own",1,"skilled",1,"yes","no"
"169","unknown",24,"good","furniture/appliances",3972,"< 100 DM","4 - 7 years",2,4,25,"none","rent",1,"skilled",1,"yes","no"
"487","unknown",12,"good","furniture/appliances",3077,"< 100 DM","1 - 4 years",2,4,52,"none","own",1,"skilled",1,"yes","no"
"279","unknown",6,"good","furniture/appliances",4611,"< 100 DM","< 1 year",1,4,32,"none","own",1,"skilled",1,"no","yes"
"912","1 - 200 DM",24,"critical","furniture/appliances",4736,"< 100 DM","< 1 year",2,4,25,"bank","own",1,"unskilled",1,"no","yes"
"456","unknown",24,"good","car",2679,"< 100 DM","< 1 year",4,1,29,"none","own",1,"management",1,"yes","no"
"335","< 0 DM",24,"perfect","furniture/appliances",4110,"< 100 DM","> 7 years",3,4,23,"bank","rent",2,"skilled",2,"no","yes"
